,species_code,scientific_name,common_name.x,common_name.y,group,order,family,CCS-max,habitat_score,habitat_comment
152,kinrai4,Rallus elegans,King Rail,King Rail,waterbird,Gruiformes,Rallidae,15,3,
163,limpki,Aramus guarauna,Limpkin,Limpkin,waterbird,Gruiformes,Aramidae,8,3,
214,purgal2,Porphyrio martinica,Purple Gallinule,NA,waterbird,Gruiformes,Rallidae,11,3,
248,sancra,Antigone canadensis,Sandhill Crane,Sandhill Crane,waterbird,Gruiformes,Gruidae,8,3,
265,sora,Porzana carolina,Sora,Sora,waterbird,Gruiformes,Rallidae,9,3,
285,virrai,Rallus limicola,Virginia Rail,Virginia Rail,waterbird,Gruiformes,Rallidae,10,3,
310,y00475,Fulica americana,American Coot,American Coot,waterbird,Gruiformes,Rallidae,10,3,
1,acafly,Empidonax virescens,Acadian Flycatcher,Acadian Flycatcher,landbird,Passeriformes,Tyrannidae,10,1,
2,aldfly,Empidonax alnorum,Alder Flycatcher,Alder Flycatcher,landbird,Passeriformes,Tyrannidae,8,1,
6,amecro,Corvus brachyrhynchos,American Crow,American Crow,landbird,Passeriformes,Corvidae,8,1,
7,amegfi,Spinus tristis,American Goldfinch,American Goldfinch,landbird,Passeriformes,Fringillidae,8,1,
9,amepip,Anthus rubescens,American Pipit,American Pipit,landbird,Passeriformes,Motacillidae,9,2,"Tricky one, hang out on shorelines but not as important for habitat as for other species."
10,amered,Setophaga ruticilla,American Redstart,American Redstart,landbird,Passeriformes,Parulidae,9,1,
11,amerob,Turdus migratorius,American Robin,American Robin,landbird,Passeriformes,Turdidae,7,1,
14,amtspa,Spizelloides arborea,American Tree Sparrow,American Tree Sparrow,landbird,Passeriformes,Passerellidae,12,1,
17,babwar,Setophaga castanea,Bay-breasted Warbler,Bay-breasted Warbler,landbird,Passeriformes,Parulidae,10,1,
20,balori,Icterus galbula,Baltimore Oriole,Baltimore Oriole,landbird,Passeriformes,Icteridae,11,1,
21,banswa,Riparia riparia,Bank Swallow,Bank Swallow,landbird,Passeriformes,Hirundinidae,11,2,"""Presently breeds primarily in lowland areas along ocean coasts, rivers, streams, lakes, reservoirs, and wetlands (Cramp 1988, Turner and Rose 1989a, Am. Ornithol. Union American Ornithologists' Union 1998a). """
23,barswa,Hirundo rustica,Barn Swallow,Barn Swallow,landbird,Passeriformes,Hirundinidae,9,2,
24,bawwar,Mniotilta varia,Black-and-white Warbler,Black-and-white Warbler,landbird,Passeriformes,Parulidae,9,1,
28,belvir,Vireo bellii,Bell's Vireo,Bell's Vireo,landbird,Passeriformes,Vireonidae,10,1,
29,bicthr,Catharus bicknelli,Bicknell's Thrush,Bicknell's Thrush,landbird,Passeriformes,Turdidae,17,1,
32,bkbwar,Setophaga fusca,Blackburnian Warbler,Blackburnian Warbler,landbird,Passeriformes,Parulidae,10,1,
34,bkcchi,Poecile atricapillus,Black-capped Chickadee,Black-capped Chickadee,landbird,Passeriformes,Paridae,7,1,
35,bkpwar,Setophaga striata,Blackpoll Warbler,Blackpoll Warbler,landbird,Passeriformes,Parulidae,11,1,
39,blugrb1,Passerina caerulea,Blue Grosbeak,Blue Grosbeak,landbird,Passeriformes,Cardinalidae,7,1,
40,blujay,Cyanocitta cristata,Blue Jay,Blue Jay,landbird,Passeriformes,Corvidae,8,1,
41,bnhcow,Molothrus ater,Brown-headed Cowbird,Brown-headed Cowbird,landbird,Passeriformes,Icteridae,8,1,
42,bnhnut,Sitta pusilla,Brown-headed Nuthatch,Brown-headed Nuthatch,landbird,Passeriformes,Sittidae,13,1,
43,boboli,Dolichonyx oryzivorus,Bobolink,Bobolink,landbird,Passeriformes,Icteridae,14,1,
44,bohwax,Bombycilla garrulus,Bohemian Waxwing,Bohemian Waxwing,landbird,Passeriformes,Bombycillidae,11,1,
46,botgra,Quiscalus major,Boat-tailed Grackle,Boat-tailed Grackle,landbird,Passeriformes,Icteridae,13,1,
49,brebla,Euphagus cyanocephalus,Brewer's Blackbird,Brewer's Blackbird,landbird,Passeriformes,Icteridae,11,1,
50,brncre,Certhia americana,Brown Creeper,Brown Creeper,landbird,Passeriformes,Certhiidae,8,1,
53,brnthr,Toxostoma rufum,Brown Thrasher,Brown Thrasher,landbird,Passeriformes,Mimidae,11,1,
55,btbwar,Setophaga caerulescens,Black-throated Blue Warbler,Black-throated Blue Warbler,landbird,Passeriformes,Parulidae,10,1,
56,btnwar,Setophaga virens,Black-throated Green Warbler,Black-throated Green Warbler,landbird,Passeriformes,Parulidae,11,1,
59,buggna,Polioptila caerulea,Blue-gray Gnatcatcher,Blue-gray Gnatcatcher,landbird,Passeriformes,Polioptilidae,8,1,
60,buhvir,Vireo solitarius,Blue-headed Vireo,Blue-headed Vireo,landbird,Passeriformes,Vireonidae,8,1,
62,buwwar,Vermivora cyanoptera,Blue-winged Warbler,Blue-winged Warbler,landbird,Passeriformes,Parulidae,14,1,
65,camwar,Setophaga tigrina,Cape May Warbler,Cape May Warbler,landbird,Passeriformes,Parulidae,11,1,
68,canwar,Cardellina canadensis,Canada Warbler,Canada Warbler,landbird,Passeriformes,Parulidae,13,1,
69,carchi,Poecile carolinensis,Carolina Chickadee,Carolina Chickadee,landbird,Passeriformes,Paridae,9,1,
70,carwre,Thryothorus ludovicianus,Carolina Wren,Carolina Wren,landbird,Passeriformes,Troglodytidae,7,1,
73,cedwax,Bombycilla cedrorum,Cedar Waxwing,Cedar Waxwing,landbird,Passeriformes,Bombycillidae,8,1,
74,cerwar,Setophaga cerulea,Cerulean Warbler,Cerulean Warbler,landbird,Passeriformes,Parulidae,14,1,
