,X,species_code,scientific_name,common_name.x,common_name.y,group,order,family,CCS.max,habitat_score,habitat_comment,English,bodymass,mass_comments
134,1,acafly,Empidonax virescens,Acadian Flycatcher,Acadian Flycatcher,landbird,Passeriformes,Tyrannidae,10,1,,Acadian Flycatcher,12.6,
135,2,aldfly,Empidonax alnorum,Alder Flycatcher,Alder Flycatcher,landbird,Passeriformes,Tyrannidae,8,1,,Alder Flycatcher,12.7,
136,6,amecro,Corvus brachyrhynchos,American Crow,American Crow,landbird,Passeriformes,Corvidae,8,1,,American Crow,448.76,
137,7,amegfi,Spinus tristis,American Goldfinch,American Goldfinch,landbird,Passeriformes,Fringillidae,8,1,,NA,12.79,
138,9,amepip,Anthus rubescens,American Pipit,American Pipit,landbird,Passeriformes,Motacillidae,9,2,"Tricky one, hang out on shorelines but not as important for habitat as for other species.",American Pipit,20.68,
139,10,amered,Setophaga ruticilla,American Redstart,American Redstart,landbird,Passeriformes,Parulidae,9,1,,American Redstart,8.24,
140,11,amerob,Turdus migratorius,American Robin,American Robin,landbird,Passeriformes,Turdidae,7,1,,American Robin,78.5,
141,14,amtspa,Spizelloides arborea,American Tree Sparrow,American Tree Sparrow,landbird,Passeriformes,Passerellidae,12,1,,NA,17.83,
142,17,babwar,Setophaga castanea,Bay-breasted Warbler,Bay-breasted Warbler,landbird,Passeriformes,Parulidae,10,1,,NA,11.8,
143,20,balori,Icterus galbula,Baltimore Oriole,Baltimore Oriole,landbird,Passeriformes,Icteridae,11,1,,Baltimore Oriole,32.83,
144,21,banswa,Riparia riparia,Bank Swallow,Bank Swallow,landbird,Passeriformes,Hirundinidae,11,2,"""Presently breeds primarily in lowland areas along ocean coasts, rivers, streams, lakes, reservoirs, and wetlands (Cramp 1988, Turner and Rose 1989a, Am. Ornithol. Union American Ornithologists' Union 1998a). """,Sand Martin,12.68,
145,23,barswa,Hirundo rustica,Barn Swallow,Barn Swallow,landbird,Passeriformes,Hirundinidae,9,2,,Barn Swallow,17.91,
146,24,bawwar,Mniotilta varia,Black-and-white Warbler,Black-and-white Warbler,landbird,Passeriformes,Parulidae,9,1,,Black-and-white Warbler,10.9,
147,28,belvir,Vireo bellii,Bell's Vireo,Bell's Vireo,landbird,Passeriformes,Vireonidae,10,1,,Bell's Vireo,8.5,
