scientific_name,Order,Axial_length_mm,transverse_diameter_mm,brain_vol_ml,body_mass_g,habitat_openness,migration,food_type,foraging_habitat,activity_pattern
Oriolus_oriolus,Passeriformes,10.35,12.53,1.45,79,De,Mi,Om,In,D
Oriolus_sagittatus,Passeriformes,11.2,14.05,1.96,95.2,So,Pm,Pl,In,D
Ortalis_vetula,Galliformes,14.9,18.8,3.23,562.6,De,Se,Pl,In,D
Orthonyx_spaldingii,Passeriformes,11.4,13.3,2.9,149.91,De,Se,An,Te,D
Orthonyx_temminckii,Passeriformes,8,9.88,1.76,58.06,De,Se,An,Te,D
Orthorhyncus_cristatus,Caprimulgiformes,3.5,4.7,0.14,3.02,So,Se,Pl,Ae,D
Ortygospiza_atricollis,Passeriformes,3.7,5.85,0.34,10.6,Op,Se,Pl,Te,D
Oryzoborus_angolensis,Passeriformes,6.2,7.35,0.68,13,So,Se,Om,In,D
Otidiphaps_nobilis,Columbiformes,14,17.45,2.6,499.99,So,Pm,Pl,Te,D
Otis_tarda,Otidiformes,27,31.25,8.46,6759.92,Op,Pm,Om,Te,D
Otus_scops,Strigiformes,14.7,NA,2.49,92,So,Mi,An,In,N
Pachycephala_olivacea,Passeriformes,10.6,12.25,1.48,41.2,De,Se,An,In,D
Pachycephala_pectoralis,Passeriformes,10.6,12.9,1.12,30.36,So,Pm,An,In,D
Pachycephala_rufiventris,Passeriformes,9,10.35,1.03,22.48,So,Se,An,In,D
Pachycephala_simplex,Passeriformes,7.8,9.8,0.83,17.4,De,Se,An,In,D
Pachycephalopsis_poliosoma,Passeriformes,10.2,12.3,1.06,37.97,De,Se,An,In,D
Pachyramphus_cinnamomeus,Passeriformes,9.2,10.5,0.88,20.3,De,Se,An,In,D
Pachyramphus_polychopterus,Passeriformes,9.8,11.25,0.74,20.8,So,Se,Om,In,D
Padda_oryzivora,Passeriformes,5.8,7.5,0.85,24.8,Op,Se,Pl,Ge,D
