"","scientific_name","common_name","group","order","family","bodymass_g","defication_rate_estimated","wingloading_quantile","axial_length_estimated","axial_length_quantile","VA_risk","CCS_raw","CCS_quantile","habitat_score","habitat_comment","VI"
"30","Picoides arcticus","Black-backed Woodpecker","landbird","Piciformes","Picidae",69.24,3.449798699,2.454545455,15.15790339,5,1,8,2,1,"",3.454545455
"31","Poecile atricapillus","Black-capped Chickadee","landbird","Passeriformes","Paridae",10.8,0.746938491,2,11.66235718,4,2,7,1,1,"",2
"32","Setophaga striata","Blackpoll Warbler","landbird","Passeriformes","Parulidae",11.84,0.805685359,1,8.20511157,2,4,11,4,1,"",10
"33","Anser rossii","Ross's Goose","waterfowl","Anseriformes","Anatidae",1635.99,46.64519907,5,10.07747873,3,3,12,4,4,"",64
"34","Antigone canadensis","Sandhill Crane","waterbird","Gruiformes","Gruidae",4296.22,103.3011103,5,7.345577432,2,4,8,2,3,"",27
"35","Coragyps atratus","Black Vulture","landbird","Cathartiformes","Cathartidae",1881.69,52.34182745,4,11.66384916,4,2,5,1,1,"",3
"36","Passerina caerulea","Blue Grosbeak","landbird","Passeriformes","Cardinalidae",27.39,1.607374538,2,6.573013719,1,5,7,1,1,"",3.5
"37","Cyanocitta cristata","Blue Jay","landbird","Passeriformes","Corvidae",88,4.202823103,3,11.69048943,4,2,8,1,1,"",2.5
"38","Molothrus ater","Brown-headed Cowbird","landbird","Passeriformes","Icteridae",40.26,2.207361477,3,6.954486434,2,4,8,1,1,"",3.5
"39","Sitta pusilla","Brown-headed Nuthatch","landbird","Passeriformes","Sittidae",10.2,0.712594784,2,7.869507716,2,4,13,5,1,"",15
"40","Dolichonyx oryzivorus","Bobolink","landbird","Passeriformes","Icteridae",31.46,1.801624591,3,7.020170813,2,4,14,5,1,"",17.5
"41","Bombycilla garrulus","Bohemian Waxwing","landbird","Passeriformes","Bombycillidae",54.41,2.82872828,3,10.01108958,3,3,11,4,1,"",12
"42","Ardea alba","Great Egret","waterbird","Pelecaniformes","Ardeidae",871.33,27.76509991,3,6.040560685,1,5,6,1,3,"Remained mostly stable - increased 1.29x (Song et al. 2024)",12
"43","Quiscalus major","Boat-tailed Grackle","landbird","Passeriformes","Icteridae",151.21,6.563628475,3,5.969176669,1,5,13,5,1,"",20
"44","Ardea herodias","Great Blue Heron","waterbird","Pelecaniformes","Ardeidae",2523.41,66.64927126,4,9.973478154,3,3,8,2,3,"",21
"45","Strix varia","Barred Owl","landbird","Strigiformes","Strigidae",711.49,23.49740452,3,11.14611429,4,2,7,1,1,"",2.5
"46","Certhia americana","Brown Creeper","landbird","Passeriformes","Certhiidae",8.1,0.58938339,1,6.018607343,1,5,8,2,1,"",6
