species_code,scientific_name,common_name.x,group,order,family,CCS.max,habitat_score,habitat_comment,bodymass,predicted_defecation_rate,est_axial_length,wingloading_quantile,axiallength_quantile,CCS_quantile,vis_acuity_risk,exposure,exposure_scaled,VI,exposure_scaled_2,risk,reduction_factor,abs_target
woewar1,Helmitheros vermivorum,Worm-eating Warbler,landbird,Passeriformes,Parulidae,13,1,,14.16,0.933600058,25.80339967,1.470588235,5,5,1,6345.999442,1.744128009,6.176470588,0.186032002,1.14902119,0.869707073,8333.527697
wooduc,Aix sponsa,Wood Duck,waterfowl,Anseriformes,Anatidae,7,4,,657.59,22.02140488,15.51365241,5,5,1,1,7373.014562,1.864555173,12,0.216138793,2.593665518,0.831983806,4160.847522
woothr,Hylocichla mustelina,Wood Thrush,landbird,Passeriformes,Turdidae,14,1,,50.09,2.642437997,10.63752226,2,3,5,3,8929.724666,2.047094046,12.5,0.261773512,3.272168895,0.828744939,8579.334418
y00475,Fulica americana,American Coot,waterbird,Gruiformes,Rallidae,10,3,,636.74,21.44478727,13.60929694,5,4,3,2,152.4960047,1.017881588,31.5,0.004470397,0.140817507,0.705668016,79.72895861
y00478,Larus glaucoides,Iceland Gull,waterbird,Charadriiformes,Laridae,11,5,Gulls and terns strongly negatively affected in Song et al. 2024,693.31,23.00184446,8.722147245,4,3,4,3,43.79482579,1.005135354,42,0.001283839,0.053921222,0.637651822,45.65291655
ycnher,Nyctanassa violacea,Yellow-crowned Night Heron,waterbird,Pelecaniformes,Ardeidae,12,3,,681.67,22.6833524,33.95081046,3.4,5,5,1,593.7135932,1.069618492,33,0.017404623,0.574352562,0.695951417,259.0641975
yebcha,Icteria virens,Yellow-breasted Chat,landbird,Passeriformes,Icteriidae,10,1,,24.89,1.485547635,22.23912257,3,5,4,1,567.548029,1.066550334,8,0.016637584,0.133100669,0.857894737,468.8156136
yebcuc,Coccyzus americanus,Yellow-billed Cuckoo,landbird,Cuculiformes,Cuculidae,11,1,,64,3.233321963,10.82553181,2,3,4,3,2404.156405,1.281909908,10,0.070477477,0.70477477,0.844939271,1944.653185
yebfly,Empidonax flaviventris,Yellow-bellied Flycatcher,landbird,Passeriformes,Tyrannidae,10,1,,11.8,0.803443199,6.407380234,1,1,3,5,1724.392003,1.20220115,9,0.050550288,0.454952588,0.851417004,2113.105439
yebsap,Sphyrapicus varius,Yellow-bellied Sapsucker,landbird,Piciformes,Picidae,7,1,,50.3,2.651557597,5.861614378,2,1,1,5,5684.888832,1.666606583,3.5,0.166651646,0.583280761,0.887044534,5811.956503
yelwar,Setophaga petechia,Yellow Warbler,landbird,Passeriformes,Parulidae,8,1,,10.8,0.746938491,18.00334865,1.470588235,5,2,1,1843.536055,1.216171909,2.470588235,0.054042977,0.133517944,0.893712789,1234.425885
yerwar,Setophaga coronata,Yellow-rumped Warbler,landbird,Passeriformes,Parulidae,8,1,,11.94,0.811284922,8.667672597,2,3,2,3,2233.560593,1.261905947,5,0.065476487,0.327382434,0.877327935,1520.997698
yetvir,Vireo flavifrons,Yellow-throated Vireo,landbird,Passeriformes,Vireonidae,10,1,,18,1.13756731,6.28382815,2,1,3,5,3037.555633,1.356181914,10.5,0.089045478,0.934977523,0.841700405,2588.541926
yetwar,Setophaga dominica,Yellow-throated Warbler,landbird,Passeriformes,Parulidae,10,1,,9.69,0.683121645,6.049900807,1,1,3,5,1558.258329,1.182720418,9,0.045680104,0.411120939,0.851417004,2024.81237
